"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Colorimetric recognition for urinalysis dipsticks based on quadratic discriminant analysis","https://scispace.com/paper/colorimetric-recognition-for-urinalysis-dipsticks-based-on-4vfzyggwnj","2017","Proceedings Article","International Conference of the IEEE Engineering in Medicine and Biology Society","Yong He
Kai Dong
Yongheng Hu
Tao Dong","10.1109/EMBC.2017.8037709","","Detection of biomarkers in urine sample is often conducted by use of dipsticks, which provides a qualitative result. Urinalysis involving image recognition and data processing has becoming one of the powerful tools in clinical diagnosis. This paper presents colorimetric recognition of urinalysis dipsticks based on quadratic discriminant analysis (QDA) in order to overcome the drawbacks, such as, limited detection area, seriously affected by the external light conditions etc. It can decrease the error of color space conversion by directly processing the data from the captured image using QDA. The correlation of the sRGB color space and the difference of covariance matrix of the acquired data were took into account in this discriminant analysis. The results of validation experiments by Matlab simulation show that it can effectively identify the similarity between the test and reference color on the dipsticks with the color recognition accuracy at 97.33%.","In this paper, a colorimetric recognition of urinalysis dipsticks based on quadratic discriminant analysis (QDA) is presented to overcome the drawbacks, such as, limited detection area, seriously affected by the external light conditions etc."
"Highly selective optical detection in a lab-on-a-chip for biological fluids analysis","https://scispace.com/paper/highly-selective-optical-detection-in-a-lab-on-a-chip-for-3taivdx768","2002","Journal Article","Sensors and Materials","Graça Minas
Júlio S. Martins
José Higino Correia","","https://www.myu-inc.jp/myukk/S&M/archives/pdf/S&M0472.pdf","This paper presents a microfluidic system for determining the protein concentrations in human biological fluids (e.g., urine) with a highly sensitive and selective optical photodetector based on a Fabry-Perot filter. The microsystem consists of two wafers: a Pyrex glass wafer containing the microlaboratory (microchannels to carry chemical reagents and sample solutions) and a silicon wafer that includes the protein detection system and readout electronics. The optical channel operates in the visible spectral range. Optical simulations of the Fabry-Perot filter for narrow band operation are demonstrated by the determination of total protein and albumin concentration in urine. Compensation techniques for the detection system are also presented. This microfluidic system eliminates the need for expensive readout optics and opens the door to low-cost disposable devices.","In this paper, a microfluidic system for determining the protein concentrations in human biological fluids (e.g., urine) with a highly sensitive and selective optical photodetector based on a Fabry-Perot filter is presented."
"Non-invasive reflectance spectrophotometric apparatus","https://scispace.com/paper/non-invasive-reflectance-spectrophotometric-apparatus-5g45gmy6kf","1984","Patent","","Francois Bosch","","","Spectrophotometric apparatus is incorporated in a portable housing with a light source for emitting a wide band of radiation from which monochromatic light is produced and projected onto a specimen outside the housing. A hood is mounted to the housing and includes an aperture through which light is emitted from the light source and reflected from either a specimen or a calibrating material positioned in front of the aperture such that light is reflected from either the specimen or the calibrating material onto a photosensitive detector within the housing. The photosensitive detector is responsive to the monochromatic light reflected from the specimen or the calibrating material to provide output signals representative of the spectrophotometric characteristics thereof. The output of the photosensitive detector is connected to an indicating meter.","In this article, a portable spectrophotometric apparatus is incorporated in a portable housing with a light source for emitting a wide band of radiation from which monochromatic light is produced and projected onto a specimen outside the housing."
"A portable analyzer based on a novel optical structure for urine dry-chemistry analysis","https://scispace.com/paper/a-portable-analyzer-based-on-a-novel-optical-structure-for-hkimajtuzf","2018","Journal Article","Journal of Instrumentation","G. Liu
N. Hu
Z. Ma
Ruiqiang Li","10.1088/1748-0221/13/07/T07002","https://iopscience.iop.org/article/10.1088/1748-0221/13/07/T07002/pdf","A portable urine analyzer, based on a novel optical structure, a high-performance 32-bit microcontroller STM32F103VE and a WiFi module, is put forward for urine dry-chemistry analysis in this paper. In the analyzer, the optical structure, made up of optical fiber bundles, is helpful to control the spread path of light and to reduce influence of ambient light on test results effectively. Meanwhile, through our designed optical structure, the intensity of both irradiating light from white LED and reflected light from urine reagent strip can be measured synchronously by two color sensors. And this is useful to enhance the degree of automation availably and to further improve test accuracy of the urine analyzer. Furthermore, a temperature sensor is also used to measure environment temperature for calibrating the test results of the analyzer. In addition, a high-precision reference voltage chip, LM4132A-3.0, which provides a reference voltage for analog-digital and digital-analog converters integrated in STM32F103VE, is adopted to improve both the measurement precision of light intensity and the control accuracy of outputted analog signals. Consequently, by the 14-item urinalysis reagent strip, the analyzer is able to obtain fourteen indexes of human urine, to display and print the composite reflectivity or semi-quantitative result of each test item. Besides, it also can output all results, covering above mentioned two kinds of results, each color-component reflectivity and all original data of the latest tested strip through WiFi module. To validate the performance of the analyzer, 200 real human urine samples were tested by our designed analyzer and a commercial one simultaneously. The results show that the urine analyzer has a good stability and a great consistency with the commercial one. Therefore, our designed analyzer has a good application prospect in the communities and families.","The results show that the urine analyzer has a good stability and a great consistency with the commercial one, and has aGood application prospect in the communities and families."
"Spectrochip-based Calibration Curve Modeling (CCM) for Rapid and Accurate Multiple Analytes Quantification in Urinalysis","https://scispace.com/paper/spectrochip-based-calibration-curve-modeling-ccm-for-rapid-4yz3yj2f060q","2024","Journal Article","Heliyon","Cheng‐Hao Ko
Ashenafi Belihu Tadesse
Abel Chernet Kabiso","10.1016/j.heliyon.2024.e37722","","Most urine test strips are intended to enable the general population to rapidly and easily diagnose potential renal disorders. It is semi-quantitative in nature, and although the procedure is straightforward, certain factors will affect the judgmental outcomes. This study describes rapid and accurate quantification of twelve urine test strip parameters: leukocytes, nitrite, urobilinogen, protein, pH, occult blood, specific gravity, ketone, bilirubin, glucose, microalbumin, and creatinine using a micro-electromechanical system (MEMS)-based spectrophotometer, known as a spectrochip. For each parameter, absorption spectra were measured three times independently at eight different concentration levels of diluted standard solutions, and the average spectral intensities were calculated to establish the calibration curve under the characteristic wavelength ( ","This study develops a spectrochip-based calibration curve model for rapid and accurate quantification of 12 urine test strip parameters, enabling precise diagnosis of renal disorders using a micro-electromechanical system (MEMS)-based spectrophotometer."
"Evaluating color correction algorithms for automated interpretation of urinalysis dipsticks with low-cost image sensors","https://scispace.com/paper/evaluating-color-correction-algorithms-for-automated-35dvjl5k","2023","Proceedings Article","","Wenbo Wang
James W. Stafford
Andrew Miller
Rose M. Buchmann
Ethan Spencer
Angela Michelle T. San Juan
Jamie Purcell
Matthew D. Keller","10.1117/12.2653972","","Some medical diagnostic tools, such as urinalysis dipsticks, rely on reading colors accurately for making clinical decisions. Reading color visually can be subject to 1) perceptual differences (inter-observer), 2) environmental factors such as illumination, and 3) target coloring (metamerism), especially among users with limited training and experience. Mobile phone cameras and compact camera modules offer potential low-cost platforms for automated, objective color readouts. However, image colors are a function of camera sensor and illumination characteristics. To restore color fidelity, color correction techniques must be applied to account for systematic deviation. This work aims to provide a quantitative assessment of color correction techniques and reduce variability in color interpretation for urinalysis dipstick results using a low-cost imager. Three color correction methods – linear, polynomial, and root-polynomial regression – were compared for performance in color difference reduction. A standard color checker card was used as reference to compute color correction matrices. A custom imaging system with a low-cost camera module was developed to capture images under controlled illumination. Reference values of the color checker card were obtained with a CM-26d handheld spectrophotometer. The CIE2000 ∆E was used to quantify the color difference between the camera image and the spectrometer to evaluate 3 color correction algorithms. The derived color correction matrices were applied to urinalysis dipstick images and compared to the spectrometer readings. Results indicated that polynomial fitting showed the lowest ∆E during calibration but failed to properly correct urine dipstick colors. Root polynomial offered the best performance in reducing color differences to be below 3 to 4 ∆E. Utilizing L*a*b values for classifying a given dipstick result according to reference concentration levels, it was found that quadratic discriminant analysis (QDA) and k Nearest Neighbor (kNN) classifiers achieved an 82.9% and 97.1% accuracy, respectively.","In this paper , a color checker card was used as a reference to compute color correction matrices, which were applied to urinalysis dipstick images and compared to the spectrometer readings."
"Interpretation of urine dipstick results based on color similarity using linear interpolation curve fitting","https://scispace.com/paper/interpretation-of-urine-dipstick-results-based-on-color-dlumizet0m","2013","Proceedings Article","Computational Intelligence","Ratna Nur Tiara Shanty
R. V. Hari Ginardi
Riyanarto Sarno","10.1109/CYBERNETICSCOM.2013.6865777","","Automation of urine dipstick reagent results interpretation is influenced by color space selection and the method to determine color similarity between a tested color and the target color chart. Color similarity among colors can be evaluated by calculating their Euclidean distance in a color space; however it only calculates the distances between a tested color and a series of target color in a color chart, producing a stepwise quantification. It is not suitable if a value between two target colors should be estimated, producing a smoother quantification. This research enhances the method for urine dipstick color interpretation. A stepwise linear interpolation algorithm in CIELAB color space is used. It produces smoother quantification and a possibility to verify whether the tested reagent is belong to the certain color chart or not. A formula resulted from our algorithm can be easily implemented for interpreting the score of the tested reagent. The result of this automation method is evaluated by comparing the result with a visual interpretation and color interpretation by using Euclidean distance only. The result shows a promising method in an automation process for dipstick urinalysis.","A stepwise linear interpolation algorithm in CIELAB color space is used and produces smoother quantification and a possibility to verify whether the tested reagent is belong to the certain color chart or not, and shows a promising method in an automation process for dipstick urinalysis."
"Reflectance digital matrix photometry.","https://scispace.com/paper/reflectance-digital-matrix-photometry-45qm9e52sb","1983","Journal Article","Clinical Chemistry","W E Neeley
A Zettner","10.1093/CLINCHEM/29.6.1038","","We have designed and constructed a digital matrix photometer for quantitative measurement of reflected light of small chromophoric areas or colored spots. The areas are divided conceptually into small subunits in which the reflected light is measured. This is done through stepwise scanning with a photodiode array. The sum of the individual reflectance measurements is related to the total amount of an analyte in the spot. We have found that this technique makes possible accurate and precise quantitation of light-absorbing substances in small areas of different sizes, shapes, and internal irregularity measuring as little as 1 mm across.","A digital matrix photometer is designed and constructed for quantitative measurement of reflected light of small chromophoric areas or colored spots and found that this technique makes possible accurate and precise quantitation of light-absorbing substances in small areas of different sizes, shapes, and internal irregularity measuring as little as 1 mm across."
"A Portable System for Determination of Biochemical Parameters by Optic Reflection","https://scispace.com/paper/a-portable-system-for-determination-of-biochemical-91fa5c1e13","2006","Proceedings Article","Nano/Micro Engineered and Molecular Systems","Aiyu Zhou
Baoshan He
Hui Wang
Liying Jiang
Xinxia Cai","10.1109/NEMS.2006.334641","","A portable system for determination of biochemical parameters by optic reflection is described in this paper. This system worked in visible spectral range of 400~700-nm and the spectrum resolution was 10-nm. The detected parameter's concentration is calculated mathematically according to the calibration equation established between the index of reflection and the reference concentration. Combined with the biosensors developed by our group, the system was used to determine Hemoglobin (HB) and Alanine Aminotransferase (ALT), which were two preferred biochemical parameters for the evaluation in blood dedication. The detection of HB and ALT were experimentalized in National Center for Clinical Laboratories (NCCL) of China and Red Cross Blood Center of Beijing, China respectively. And the detected results correlated well with that obtained by the large equipments employed by the two centers mentioned above. Compared to large equipments used in traditional method, this system is portable, rapid to get results and can be operated simply.","In this paper, a portable system for determination of biochemical parameters by optic reflection is described, which works in visible spectral range of 400~700-nm and the spectrum resolution was 10-nm."
"Optical Point of Care Devices for Diagnosis of Urinary Tract Infections","https://scispace.com/paper/optical-point-of-care-devices-for-diagnosis-of-urinary-tract-4mx4v2kcbv","2023","Journal Article","Current Opinion in Biomedical Engineering","Weiming Xu
Esha Venkat
Hatice Ceylan Koydemir","10.1016/j.cobme.2023.100513","","Urinary tract infections (UTIs) are common bacterial infections affecting any part of the urinary system. Accurate and rapid UTI diagnosis is crucial for initiating appropriate and effective treatment and preventing further complications. Traditional diagnostic methods based on culturing require specialized expertise, controlled environments for culturing urine specimens, and specific analysis environments, and these methods are time-consuming. In contrast, optical devices offer tremendous advantages, including enhanced sensitivity, user-friendliness, and portability. These devices can be integrated with conventional methods to enhance the accessibility of diagnosis techniques, especially in resource-limited settings. Further research is needed to optimize optical devices' analytical performance and cost-effectiveness to harness their full potential in UTI diagnosis. This review delves into recent advancements in optics-based devices for urinary pathogen detection. After providing a succinct overview of UTIs and existing clinical practices for their detection, diagnosis, and treatment, the most recent studies about optical diagnostic technologies for UTI diagnosis were reviewed, and an exploration of the future prospects and conclusive insights were discussed. Unveiling the potential of optical technology for UTI diagnosis promises to revolutionize healthcare and exemplifies the inexhaustible possibilities at the intersection of science and medicine. ","This review explores recent advancements in optics-based devices for urinary tract infection (UTI) diagnosis, highlighting their enhanced sensitivity, user-friendliness, and portability, and discusses future prospects for optimizing their analytical performance and cost-effectiveness."
"Present status and tasks for future of point of care testing","https://scispace.com/paper/present-status-and-tasks-for-future-of-point-of-care-testing-55j4pxwxb7","2002","Journal Article","The Japanese journal of clinical pathology","Motohisa Suzuki","","","This paper introduces Point-Of-Care Testing(POCT) developed by Bayer, mainly focusing on urine dipstick and tests for Diabetes Mellitus. Urinalysis using a dipstick has been widely carried out as a screening test for various kinds of diseases. Ten-pad urine dipstick is commercially available at the present time, and the desktop instruments have been developed for automatic optical reading, such as the Clinitek 50/100/500 systems. More recently, Bayer developed a new urine dipstick intended for reliable detection of the early stage of kidney disease without the influence of urine condensation or dilution. The dipstick adds 2 pads to conventional urine dipsticks: one for the measurement of small amounts of protein(albumin), and the other for creatinine. A semi-quantitative urine protein-to-creatinine ratio is based on these results. There have been significant advances made in blood glucose meters for POCT in terms of reliability, simplicity of operation, sample volume, etc. And not only healthcare professionals but also patients with diabetes have used POCT meters. Dexter-ZII is available as one of these meters. DCA2000 is a portable analyzer for measuring HbA1c in 6 min. Patients could be treated and instructed on the basis of HbA1c measured by DCA2000. As one of the tasks for the future, it is preferable that some POCT systems be available as OTC for ordinary people to manage their own health. Also, I emphasize that it is important to review the usability of conventional urine dipsticks like a check for drug side effects, as well as for developing new urine analyses.","This paper introduces Point-Of-Care Testing(POCT) developed by Bayer, mainly focusing on urine dipstick and tests for Diabetes Mellitus, and it is important to review the usability of conventional urine dipsticks like a check for drug side effects, as well as for developing new urine analyses."
"The design of optical system in the urine analyzer","https://scispace.com/paper/the-design-of-optical-system-in-the-urine-analyzer-4iw9yw13th","2007","Journal Article","Optical Instruments","Dong Nan","","","The urine analyzer is the automatic machine that measures the consistence of the urine ingredient.A kind of big-powered linear light source which distributes power equably is needed in the urine analyzer.In this paper basic principle and devices of urine analyzer has been briefly introduced,the principle of liner light source by means of refraction has been analyze and has been put to the test,moreover the collection and receipt of signal has been explored.Experiment results have shown that this system is reliable,capable of obtaining good effect.","Basic principle and devices of urine analyzer have been briefly introduced, the principle of liner light source by means of refraction has been analyze and has been put to the test and more over the collection and receipt of signal has been explored."
"The Design of Optical System in the Urine Analyzer","https://scispace.com/paper/the-design-of-optical-system-in-the-urine-analyzer-p1xn8es30br0","","","","JIN Ying-ni
DONG Nan","10.3969/j.issn.1005-5630.2007.05.006","","The urine analyzer is the automatic machine that measures the consistence of the urine ingredient.A kind of big-powered linear light source which distributes power equably is needed in the urine analyzer.In this paper basic principle and devices of urine analyzer has been briefly introduced,the principle of liner light source by means of refraction has been analyze and has been put to the test,moreover the collection and receipt of signal has been explored.Experiment results have shown that this system is reliable,capable of obtaining good effect.","This paper designs an optical system for a urine analyzer, introducing its basic principle and devices, analyzing a linear light source via refraction, and exploring signal collection and receipt, demonstrating a reliable system with good effect."
"Optimizing the u411 automated urinalysis instrument for veterinary use","https://scispace.com/paper/optimizing-the-u411-automated-urinalysis-instrument-for-54xc2gphzs","2020","Journal Article","Veterinary Clinical Pathology","Samantha J. M. Evans
Julia L. Sharp
Linda M. Vap","10.1111/VCP.12818","","BACKGROUND The Cobas u411 Analyzer (Roche Diagnostics) is an automated, reflectance photometry-based urinalysis instrument designed for use with Roche's CHEMSTRIP 10UA technology and human urine samples. OBJECTIVE We aimed to optimize and validate the Cobas u411 Analyzer for use in canine and feline urinalysis. METHODS Patient urine samples presenting to the Clinical Pathology Laboratory at the Colorado State University Veterinary Teaching Hospital were analyzed with the Cobas u411 and by manual readings in parallel. Initially, 223 canine and 83 feline urine samples were run using the u411 factory settings. Following comparisons with manual results, and evaluation for directional bias, adjustments to the reflectance values were made in the instrument's programming. An additional 183 canine and 95 feline samples were run using the adjusted settings. Total urine protein concentrations were measured in 48 samples and used to generate receiver operating characteristic curves for the protein test pad. RESULTS Following adjustments in reflectance programming, concordance between u411 and manual results was increased by 17.7% for protein, 11.7% for ketones, and 4.5% for bilirubin. Concordances for pH, glucose, and blood were not substantially changed. Discordance for all analytes was ≤3%. Canine and feline samples had similar levels of discordance, though marginal concordance was higher in dogs for ketones, bilirubin, and blood. CONCLUSIONS Adjustments to the reflectance programming of the Cobas u411 Analyzer improved concordance with manual results for canine and feline samples. This instrument has the potential to greatly increase both efficiency and consistency of urinalysis procedures in higher throughput veterinary diagnostic laboratories.","Adjustments to the reflectance programming of the Cobas u411 Analyzer improved concordance with manual results for canine and feline samples, and has the potential to greatly increase both efficiency and consistency of urinalysis procedures in higher throughput veterinary diagnostic laboratories."
"Progress and Prospects of Urine Dry Chemical Analysis","https://scispace.com/paper/progress-and-prospects-of-urine-dry-chemical-analysis-z0i8itblld","2010","Journal Article","China Medical Device Information","Zhang Shi-min","","","Urine dry chemical analyzer and urine dry chemical dipstick is one of the most commonly used equipment in the clinical laboratory.This article will introduce the history of technology of urine dry chemical analysis,especially focusing on development process of the urine dry chemical analyzer and urine dry chemical dipstick.The principles and methods evaluation of urine dry chemistry dipstick,principles and characteristics of urine dry chemical analyzer,and the features of semi-automation and automation instrument will be covered in detail,the current status and prospective of dry chemical analysis technology is also evaluated in this article.We expect that this article will present inspiration and assistance for clinical laboratory management,laboratory routine work,equipment management,urine dry chemistry technology research and development and industries.","In this paper, the authors introduce the history of technology of urine dry chemical analysis, especially focusing on development process of the UDC analyzer and UDC dipstick, and present inspiration and assistance for clinical laboratory management, laboratory routine work, equipment management, and industries."
"Progress and Prospects of Urine Dry Chemical Analysis","https://scispace.com/paper/progress-and-prospects-of-urine-dry-chemical-analysis-rr3a6r0sxvdg","","","","ZHANG Shi-min","10.3969/j.issn.1006-6586.2010.12.002","","Urine dry chemical analyzer and urine dry chemical dipstick is one of the most commonly used equipment in the clinical laboratory.This article will introduce the history of technology of urine dry chemical analysis,especially focusing on development process of the urine dry chemical analyzer and urine dry chemical dipstick.The principles and methods evaluation of urine dry chemistry dipstick,principles and characteristics of urine dry chemical analyzer,and the features of semi-automation and automation instrument will be covered in detail,the current status and prospective of dry chemical analysis technology is also evaluated in this article.We expect that this article will present inspiration and assistance for clinical laboratory management,laboratory routine work,equipment management,urine dry chemistry technology research and development and industries.","This article reviews the history, development, and principles of urine dry chemical analysis, covering dipsticks, analyzers, and automation, with a focus on current status and future prospects for clinical laboratory management and technology advancement."
"Principle and implementation of urine analyzer with near-infrared spectroscopy","https://scispace.com/paper/principle-and-implementation-of-urine-analyzer-with-near-389yzy1g48","2012","Journal Article","China Measurement & Test","Liu Ji","","","The current analytical methods of urine composition were discussedCombined with the operating principles of spectrometer and optical-electro-mechanical design theory,a non-reagent urine analyzer was presented with near-infrared spectroscopyThere are four LEDs installed in a circular turntableThe system controls a stepping motor to rotate the circular turntable and then makes LED transmit the specimen cyclicallyA high-speed InGaAs photodiodes is used as detectorMicrocontroller software is compiled using C51 language,which is designed to drive each circuit modulePC software is designed to store data transmitted by data acquisition card,display graphic and analyze urine composition,which is developed based on VC++60","Combined with the operating principles of spectrometer and optical-electro-mechanical design theory, a non-reagent urine analyzer was presented with near-infrared spectroscopy."
"Urine analyzer and analysis method using the same","https://scispace.com/paper/urine-analyzer-and-analysis-method-using-the-same-resq3r9c9t","2019","Patent","","Ahn Ji Hong","","","The present invention relates to a urine analyzing device and an analyzing method. The urine analyzing device comprises: a communication module which is provided to receive, through the communication, color information on each of a classifying pad provided to indicate a target to be used or usages on a strip and a reagent pad provided to have a testing reagent; an input unit which is provided to input an operational signal; a MICOM which performs operations corresponding to the operational signal of the input unit, allows a classifying unit to match the color information of the classifying pad inputted through the communication module with the information on the target to be used or usages for each color of the classifying pad to calculate a target to be used or usages of the strip, allows a data matching unit to match the color information of the reagent pad inputted through the communication module with test information for each color of the reagent pad corresponding to a target to be used or usage of the strip, and allows a result calculation unit to produce a test result obtained from the matching for the color information of the reagent pad; a memory unit which stores information on targets to be used or usages for each color of the classifying pad, a reference of matching by the classifying unit, test information for each color of the reagent pad for each target to be used or usage of the strip, a reference of matching by the data matching unit, and test information obtained by the result calculation unit; a display unit which displays the test result produced by the MICOM to the outside; and a battery which provides power required for operations of the communication module, the input unit, the MICOM, the memory unit and the display unit. Accordingly, the present invention is capable of changing targets to be used and usages to make targets and usages of urination tests be expanded, thereby improving convenience in use and economic properties.","In this article, the authors present a urine analyzing device that is capable of changing targets to be used and usages to improve convenience in use and economic properties, thereby improving convenience and economic property."
"Color recognition system for urine analyzer","https://scispace.com/paper/color-recognition-system-for-urine-analyzer-3hcix1pkoy","2010","Proceedings Article","","Lianqing Zhu
Zicai Wang
Qian Lin
Mingli Dong","10.1117/12.885816","","In order to increase the speed of photoelectric conversion, a linear CCD is applied as the photoelectric converter instead of the traditional photodiode. A white LED is used as the light source of the system. The color information of the urine test strip is transferred into the CCD through a reflecting optical system. It is then converted to digital signals by an A/D converter. The test results of urine analysis are obtained by a data processing system. An ARM microprocessor is selected as the CPU of the system and a CPLD is employed to provide a driving timing for the CCD drive and the A/D converter. Active HDL7.2 and Verilog HDL are used to simulate the driving timing of the CPLD. Experimental results show that the correctness rate of the test results is better than 90%. The system satisfies the requirements of the color information collection of urine analyzer.","A linear CCD is applied as the photoelectric converter instead of the traditional photodiode to increase the speed of photoelectric conversion and satisfies the requirements of the color information collection of urine analyzer."
"Automatic analyser for urine","https://scispace.com/paper/automatic-analyser-for-urine-41mq643l92","1992","Patent","","Xialing Chen
Bingping Song
Qingxin Zhang","","","The utility model relates to an automatic urine analyzer which is composed of a sample conveying device and an optical fiber sensor controlled by a microcomputer. Samples to be detected go through a fixed optical probe one by one. The utility model is suitable for urine detection of nitrite, ph value, glucose, protein, occult blood, acetone body, bilirubin and urobilinogen with dry chemical test paper. Compared with the existing foreign products, the utility model has the advantages of advanced technology, simple manufacture process, wide transmission band, little consumption, no interference of circumference magnetic fields, stable operation, low cost, strong corrosion resistance performance and long service life.","In this article, the authors proposed a utility model for automatic detection of nitrite, ph value, glucose, protein, occult blood, acetone body, bilirubin and urobilinogen with dry chemical test paper."
"Basic study on characterization of optical reflectance for the urine test paper","https://scispace.com/paper/basic-study-on-characterization-of-optical-reflectance-for-5e2i51yvk3","1993","Proceedings Article","International Conference of the IEEE Engineering in Medicine and Biology Society","Dong-Joo Yoo
Tae-Hwa Jung
Hong-Kee Min
Hyun-Soo Lim
Woong Huh","10.1109/IEMBS.1993.979296","http://ieeexplore.ieee.org/iel5/7705/21095/00979296.pdf","For semi-quantitative measurement of reflected light from the 8 way urine test paper, a prototype of urine monitoring system was designed. The system hardware was based on one-chip microcontroller, and its peripherals which consisted of ND converter, RAM, EPROM, LCD display and miniprinter. During analysis, the urine test paper was illuminated by LED lamp whose axes were at the angle of 45 degree and the light reflected vertically from the reagent area passed to the light detector. The reference and sample signal was converted by a microcontroller to a ratio and printed a semiquantitative value using a calibration line. INTRODUCTION Traditional wet chemistry has generally been performed by using some sort of glass or quartz container within which solutions are placed, both for seperated reaction steps and also for a possible analysis which may be spectroscopic in nature[r,2]. But dry test papers were incorporated all reagent within a single solid matrix such as paper or thin film or fiber. A chemical reaction will occur after sample has been applied to a reagent paper and change a color in a reagent area and then detected reflected light(3,4]. In order to demonstrate the capabilities of this instrument, pH and Occult-Blood assay were tested. We used the 8 way urine test paper. SYSTEM DESCRPTION The block diagram of urine test paper was shown in figure 1. Urine test paper was contained in paper cassette. The monitoring system was used three different LED(green, orange, red ) of high luminance and selected LED of each assay in current to voltage converter 0-7803-1377-1/93 $3.00 01993 IEEE 1580 according to the determination of the detection wavelength by using a diffuse reflectance photometer. The light reflected from the test paper was detected by photodiode when LED illuminated in regular sequence. The signal from the photodetector was processed through current to voltage converter. Average data which read eight times in 100 ms sampling time was saved to RAM. All input range was from 0 V to 1 V. Microcontroller consisted of 8031 based system with RAM, EPROM, LCD, and miniprinter. All control and data processing were accomplished with assemfy language. Data were processed in terms of reflection ratio. %SI Rf R, Rf R = where R, is the intensity of reflected light read by the detector with blank state paper and Rfesf is the intensity of paper applied to sample and R, is the fight intensity when LED is off. Also all user can do a simple and easy work to display the operation message into LCD. After the testing is over, the results data is printing and can do a serial communication with personal computer. RESULTS In order to demonstrate the capabilities of this instrument, pH and Occult-Blood were measured at five times. As shown in fig.2, reflectance ratio of each item was getting lower as the increment of pH and Occult-Blood concentration.","For semi-quantitative measurement of reflected light from the 8 way urine test paper, a prototype of urine monitoring system was designed, based on one-chip microcontroller, and its peripherals which consisted of ND converter, RAM, EPROM, LCD display and miniprinter."
"Semiquantitative, fully automated urine test strip analysis.","https://scispace.com/paper/semiquantitative-fully-automated-urine-test-strip-analysis-107isx99nd","2019","Journal Article","Journal of Clinical Laboratory Analysis","Matthijs Oyaert
Joris R. Delanghe","10.1002/JCLA.22870","https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcla.22870","Objectives Urinalysis is one of the most frequently ordered diagnostic laboratory tests. In order to reduce workload and costs, rapid screening tests such as urine test strip analyses are applied. The aim of this study was to evaluate the analytical performance of the UC-3500 as well as the diagnostic performance in comparison with reference methods. Design and methods We measured within-run and between-run imprecision based on quantitative reflectance values. 347 prospectively included urine specimens were investigated for the presence of glucose, protein, albumin, leukocyte esterase, and hemoglobin peroxidase activity, and ordinal scale results were compared to an automated urine particle analyzer (UF-5000, Sysmex, Kobe, Japan) and wet chemistry (Roche Cobas 8000, Mannheim, Germany). Results Within-run and between-run imprecision results based on reflectance data for both the 9 and 11 parameter test strips ranged from 0.07% to 1.36% for the low-level control and from 0.37% to 6.13% for the high-level control, depending on the parameter. Regarding diagnostic performance, the sensitivity/specificity for glucose, protein, albumin, leukocyte esterase, and hemoglobin peroxidase was 100/60%, 94.2/88.2%, 81.8/89.2%, 81.7/92.8%, and 85.1/88.6%, respectively; the negative predictive value was 100%, 83.3%, 89.1%, 94.6%, and 96.1%. The Spearman correlation coefficients of the UC-3500 vs reference methods ranged from 0.915 to 0.967, depending on the parameter. Conclusion This fully automated urine test strip analyzer overall shows a satisfying performance and can reliably screen out negative urine samples in order to focus on further characterization of positive samples in the following steps of the workflow.","The aim of this study was to evaluate the analytical performance of the UC‐3500 as well as the diagnostic performance in comparison with reference methods."
"Dipstick color recognition in dry chemical urinalysis: A mini review","https://scispace.com/paper/dipstick-color-recognition-in-dry-chemical-urinalysis-a-mini-3bfqrgc1gp","2023","Journal Article","","","10.61189/494562hpikfi","","Urinalysis is an essential diagnostic tool for urinary tract infections, kidney disease, diabetes, and other clinical conditions. Dipsticks, which allow for quick screening of urine specimens, are used in the clinic settings to identify the presence and concentration of labeled substances such as urine pH, urine protein, urine glucose, urine ketone, and urine nitrite. This paper reviews four urine dry chemical analysis methods, which are based on human eyes, integrating sphere, color sensors, and image sensors, respectively. The techniques of each method are also discussed.","Four urine dry chemical analysis methods, which are based on human eyes, integrating sphere, color sensors, and image sensors, respectively, are reviewed."
