"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Optical Design and Detection Method","Electronics and Control System","Manufacturing and Cost Considerations"
"Toward a quantitative colorimeter for point-of-care nitrite detection","https://scispace.com/paper/toward-a-quantitative-colorimeter-for-point-of-care-nitrite-v5pknfad","2022","Journal Article","ACS omega","Vince Siu
Minhua Lu
Kuan Yu Hsieh
Kierstyn Raines
Youssef A. Asaad
Krishna Patel
Ali Afzali-Ardakani
Bo Wen
Russell Budd","10.1021/acsomega.1c07205","https://pubs.acs.org/doi/pdf/10.1021/acsomega.1c07205","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a transmission‑based, portable colorimeter; no benchtop reflectance dipstick integration, so low relevance to all listed criteria.","This paper reports on a low-cost, quantitative, point-of-care solution for the early detection of nitrite, a common biomarker for urinary tract infections (UTIs). In a healthy individual, nitrite is not found in the urine. However, a subject with a suspected UTI will produce nitrite in their urine since the bacteria present will convert nitrate into nitrite. Traditionally, nitrite is monitored by urinary dipsticks that are either read by eye or using a reflectance spectrophotometer. Both methods provide a semiquantitative positive or negative result at best. In this paper, we described a novel, affordable, portable transmission-based colorimeter for the quantitative measurement of nitrite. A unique permutation of the Griess reaction was optimized for the clinical detection of nitrite in urine and is reported. By using nitrite spiked in a salt buffer, artificial, and human urine samples, the performance of the colorimeter was evaluated against dipsticks read using two commercial dipstick analyzers, Urisys 1100 (Roche Diagnostics) and Clinitek Status+ (Siemens Medical Solutions). The colorimeter was able to detect the clinically relevant range of nitrite from 0.78 to 200 μM in a salt buffer. The detection limit in artificial urine was determined as 1.6 μM, which is ∼16× more sensitive than commercial dipstick reflectance analyzers, enabling the possibility for earlier detection of urinary infections. The colorimeter is assembled using off-the-shelf components (<$80) and controlled by a smartphone application via low-energy bluetooth. It has a built-in color correction algorithm and is designed to enable for a turbidity correction in samples containing bacteria or other cellular debris as well. The mobile application can display the nitrite concentration for a single sample or display the results over a period of time. Tracking urinalysis results longitudinally can help identify trends such as increases in nitrite concentrations over an individual’s baseline and identify possible infections earlier. While the detection of nitrite was showcased here, this portable analyzer can be expanded to other colorimetric-based chemistries to detect a panel of biomarkers, which can improve the overall sensitivity and specificity of the desired assay.","The colorimeter is a novel, affordable, portable transmission-based device. It utilizes off-the-shelf components and is controlled by a smartphone via low-energy Bluetooth. The system includes a built-in color correction algorithm and is designed for turbidity correction. It measures nitrite quantitatively, offering significantly higher sensitivity than commercial dipstick reflectance analyzers.","The colorimeter is assembled using off-the-shelf components (<$80) and controlled by a smartphone application via low-energy Bluetooth. It features a built-in color correction algorithm and is designed for turbidity correction. The mobile application displays nitrite concentration for single samples or over time.","The colorimeter is assembled using off-the-shelf components costing less than $80. This low-cost design enables quantitative nitrite detection. It is designed for economical production and point-of-care use, offering a more sensitive option than commercial dipstick analyzers."
"Lab-on-a-chip for measuring uric acid in biological fluids","https://scispace.com/paper/lab-on-a-chip-for-measuring-uric-acid-in-biological-fluids-2judrkf6fu","2002","","","Graça Minas
Júlio S. Martins
Cristina Pereira Wilson
Cristóvão F. Lima
Reinoud F. Wolffenbuttel
José Higino Correia","","https://scispace.com/pdf/lab-on-a-chip-for-measuring-uric-acid-in-biological-fluids-2judrkf6fu.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a lab‑on‑a‑chip device for uric acid measurement using optical absorption, not on benchtop urine dipstick analyzers or reflectance photometry.","This paper describes a lab-on-a-chip for measuring uric acid in serum, plasma or urine The lab-on-a-chip is composed by two dies: one is fabricated in polystyrene and contains the microchannels and the other is fabricated through a CMOS process and contains the photodetector and readout electronics The uric acid concentration is measured by using a mixture of 14 μl of infinity uric acid reagent with 025 μl of sample The achieved sensitivity is 033 mg/dl (±06% of human being urine values), with a 1 mm lightpath Using an optical absorption method, a maximum peak at wavelength λ = 494 nm, is detected","The system uses an optical absorption method. A 150 W Xe lamp or white light with an optical filter serves as the light source, detecting a maximum peak at 494 nm. The detector is a pn-junction photodiode fabricated via CMOS, with an active area of 500x500 µm². The optical path involves light passing through microchannels in a polystyrene die to the photodetectors. Calibration involves using a baseline reference from the reagent.","The lab-on-a-chip's electronics architecture involves a CMOS die with photodetectors and readout electronics for colorimetric detection. It utilizes a double-metal, single-polysilicon, 1.6 µm n-well CMOS standard process. The system integrates analog-to-digital conversion using a one-bit first-order sigma delta modulator. This design results in a bit stream output, suitable for small data-acquisition and control systems. An 8-bit analog-to-digital converter is sufficient for the achieved sensitivity of 0.33 mg/dl.","The lab-on-a-chip is composed of two dies: one polystyrene, the other CMOS. The polystyrene die, chosen for transparency and insulation, is manufactured by drilling holes and channels using a CNC machine, then glued. The CMOS die's photodetectors and readout electronics are fabricated using a 1.6 µm n-well CMOS standard process. This design aims for low-cost disposable devices, avoiding expensive readout optics."
"Invited Speaker Abstracts","https://scispace.com/paper/invited-speaker-abstracts-3b8mwo8l","2022","Journal Article","Türk biyokimya dergisi","","10.1515/tjb-2022-47s204","https://scispace.com/pdf/invited-speaker-abstracts-3b8mwo8l.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on automated urine analyzers, microscopy, microfluidics, and AI; does not address dipstick analyzers, optical reflectance photometry, or benchtop integration.","","The urine analyzer system uses reflectance photometry for strip reading. It determines urine color by reflectance photometry, with some manufacturers adding an extra pad to the urine strip. Light transmittance or scattering is used for urine clarity. The system uses appropriate wavelengths of light for each specific test. Calibration involves performing calibrations with fresh distilled water.","Not addressed in this paper.","*   **Cost optimization:** Liquid biopsy offers advantages like low cost and is a popular technique for physicians and scientists.
*   **Economical production:** Biosensors have good potential due to easy, scalable, and effective production processes.
*   **Quality control:** Stringent quality assurance programs are critical in traditional laboratory tests.
*   **Materials:** Biosensors use enzyme-based electrochemical methods, immunosensors, and molecularly imprinted polymers."
"Improved reflectance photometer","https://scispace.com/paper/improved-reflectance-photometer-49fv9rxifm","1988","Patent","","Andrew J. Dosmann
Willis Howard
Alfred Zembrod","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Describes a generic reflectance photometer with polarizers for diffuse light measurement; no mention of urine dipsticks, benchtop integration, or related assay specifics.","A reflectance photometer for quantitatively measuring diffuse light includes a light source located above a sample. The reflectance photometer also includes a first detector mounted at a preselected scattering angle relative to an axis extending perpendicularly from the sample through the light source. A first linear polarizer is mounted between the sample and the light source. The direction of polarization of the first linear polarizer is vertical to a scattering plane defined by the direction of incoming light from the light source and the direction of reflected light detected by the first detector. A second linear polarizer is mounted between the sample and the first detector. The direction of the second polarizer is parallel to the scattering plane. The reflectance photometer can include a second detector mounted at a second, scattering angle. A third linear polarizer is mounted between the sample and the second detector. The direction of polarization of the third linear polarizer can be perpendicular or parallel to the scattering plane. Generally, the three polarizers are close such that the contributions of scattered light as related to surface noise will be minimized for the first detector and maximized for the second detector, respectively. The optimum settings of the polarizers will depend on the settings of the polarizors, the scattering geometry, the sample orientation and the bulk and surface scattering properties of the sample material.","The reflectance photometer includes a light source above a sample. A first detector is mounted at a preselected scattering angle. A first linear polarizer is between the sample and the light source, polarized vertical to the scattering plane. A second linear polarizer is between the sample and the first detector, polarized parallel to the scattering plane. A second detector and third polarizer can also be included.","Not available in metadata.","Not available in metadata."
"Continuous spectroscopic monitoring of urinary catheter output: advancements and clinical implications","https://scispace.com/paper/continuous-spectroscopic-monitoring-of-urinary-catheter-i4q8gmlcirs4","2025","Journal Article","Dental science reports","Sebastian Kuenert
Anastasia Meckler
Leonardo Poggi
Lukas Schipper
Thanusiah Selvamoorthy
Bernadette Hosters
Eva-Maria Huessler
F. Nensa
René Hosch
M. Berger
Mario Vincent Roser
Ramsi Siaj","10.1038/s41598-025-92802-2","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** The paper presents a catheter‑integrated hyperspectral sensor for direct urine analysis, not a benchtop dipstick system, and uses transmission spectroscopy rather than reflectance photometry.","Urine diagnostics are crucial for identifying urological disorders and systemic diseases. Monitoring bladder catheters for urine output and early signs of urinary tract infections (UTIs) is essential but labor-intensive and prone to documentation errors. Recent advances in electronic monitoring and spectroscopy offer potential improvement in this process. This study introduces a novel smart sensor system for urinary catheters, enabling digital, continuous, automated real-time spectroscopic urine monitoring. A prototype consisting of a mini-spectrometer integrated with a custom lens array and hyperspectral illumination source was developed for urine analysis. It measures light intensity across 288 channels (340–850 nm) from multiple angles and exposure times, capturing detailed spectral data. Analyzing 401 urine samples from 168 patients, statistical models in R software were used to assess the dependency between spectral data and clinical laboratory values. The prototype accurately detected response variables like bilirubin, erythrocytes, pH, protein, specific gravity, and urobilinogen, with AUC values indicating good to very good discrimination. Response variables like glucose and nitrite, which do not absorb within the measured spectrum, showed minimal correlation. Our smart catheter system presents the potential for a significant advancement in urine monitoring, providing continuous, accurate analysis of parameters absorbing within the visible light spectrum.","A prototype smart sensor system uses a mini-spectrometer integrated with a custom lens array and hyperspectral illumination source. It measures light intensity across 288 channels (340–850 nm) from multiple angles and exposure times, capturing detailed spectral data for continuous, automated real-time urine monitoring. This allows detection of parameters absorbing within the visible light spectrum.","The smart sensor system integrates a mini-spectrometer with a custom lens array and hyperspectral illumination source. It measures light intensity across 288 channels (340–850 nm) from multiple angles and exposure times. Statistical models in R software were used for data analysis. No specific details on microcontroller, ADC, signal conditioning, power supply, or communication interfaces are provided in the metadata.","A prototype system was developed, consisting of a mini-spectrometer integrated with a custom lens array and hyperspectral illumination source. The study focuses on the system's ability to detect various urine parameters spectroscopically. No specific details about manufacturing approach, assembly, cost optimization, material selection, mechanical design, quality control methods, low-cost production, component sourcing, or BOM details are mentioned."
"A Study of Prevalence of Renal Diseases among Healthy Urban Population","https://scispace.com/paper/a-study-of-prevalence-of-renal-diseases-among-healthy-urban-4550k3mr0r","2020","Journal Article","","T Balasubramaniyan
Samuel Hanock Unni
S Thirumavalavan
C Vasudevan
Kumar Rp Senthil
Murugesan","10.23937/2572-3286.1510061","https://scispace.com/pdf/a-study-of-prevalence-of-renal-diseases-among-healthy-urban-4550k3mr0r.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Describes population screening and manual dipstick testing; lacks any benchtop device, optical reflectance design, or detailed hardware discussion.","Citation: Balasubramaniyan T, Samuel HU, Thirumavalavan S, Vasudevan C, Kumar RPS, et al. (2020) A Study of Prevalence of Renal Diseases among Healthy Urban Population. J Clin Nephrol Ren Care 6:061. doi.org/10.23937/2572-3286/1510061 Accepted: December 29, 2020: Published: December 31, 2020 Copyright: © 2020 Balasubramaniyan T, et al. This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. Open Access ISSN: 2572-3286","The urine analyzer uses a dipstick with small squares that change color. The dipstick is inserted into urine samples for 30-60 seconds. Interpretation is done by comparing the dipstick's color changes with a color chart on the strip bottle. Protein detection involves a buffered test zone changing from yellow to greenish-blue in the presence of albumin. Glucose detection is based on glucose-oxidase/peroxidase chromogen reaction. No specific details on LED type, wavelengths, detector type, or optical path configuration are provided.","Not addressed in this paper.","This paper focuses on the prevalence of renal diseases and screening methods, not manufacturing or cost considerations for medical devices. It mentions that routine urine analysis is a low-cost method for early detection of renal conditions. The study used standard laboratory tests and equipment like mercury sphygmomanometers. No details on manufacturing approach, assembly, material selection, or specific cost optimization strategies for production are provided."
"Multisite evaluation of a new dipstick for albumin, protein, and creatinine.","https://scispace.com/paper/multisite-evaluation-of-a-new-dipstick-for-albumin-protein-3aser064im","2001","Journal Article","Journal of Clinical Laboratory Analysis","Jane F. Wallace
Michael J. Pugia
John A. Lott
Karl E. Luke
Zak K. Shihabi
Michael Sheehan
Jean M. Bucksa","10.1002/JCLA.1032","https://scispace.com/pdf/multisite-evaluation-of-a-new-dipstick-for-albumin-protein-3aser064im.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Evaluates a new dipstick using reflectance photometry but lacks a benchtop integrated device description or detailed hardware architecture; only touches on optical detection basics.","The goal of our study was to perform a multisite evaluation of a new urine dipstick called Multistix PROtrade mark (Bayer, Elkhart, IN), which has reagent pads for the simultaneous assay of urinary albumin, protein, and creatinine. Patients' urine specimens were assayed at four sites with these dipsticks and with the familiar Bayer Multistix 10SG dipsticks for protein. The new dipstick pads for albumin are impregnated with bis (3',3""-diiodo-4',4""-dihydroxy-5',5""-dinitrophenyl)-3,4,5,6-tetrabromo-sulfonephthalein (DIDNTB) dye. These dipsticks also have a novel pad that estimates urinary creatinine using the peroxidase activity of the copper-creatinine complex. We determined the interlaboratory agreement of these dipsticks by comparing dipstick results to values obtained by quantitative analytical methods. We found that dividing the dipsticks' albumin or protein results by the creatinine concentration reduced the number of false-positive albumin or protein values observed in concentrated urines, and reduced the number of false negatives in dilute urines. The ratio of albumin to creatinine, or protein to creatinine gives a better measure of albumin or protein excretion. Compared to reading by eye, the dipstick results agreed better with the quantitative assays when they were read by a reflectometer (Bayer Clinitek).","","",""
"Development of a Lensless Point-of-Care Device for Urine Analysis","https://scispace.com/paper/development-of-a-lensless-point-of-care-device-for-urine-11goxfhz9o","2019","Dissertation","","Jessica Kun","","https://scispace.com/pdf/development-of-a-lensless-point-of-care-device-for-urine-11goxfhz9o.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on lensless microscopy for urine sediment analysis, not on dipstick reflectance methods or benchtop integration.",".......................................................................................................................................iv Acknowledgements ......................................................................................................................v Table of","","",""
"Emergency department visual urinalysis versus laboratory urinalysis.","https://scispace.com/paper/emergency-department-visual-urinalysis-versus-laboratory-15z7c6mufy","2009","Journal Article","","James C. Worrall","10.1017/S1481803500011817","https://scispace.com/pdf/emergency-department-visual-urinalysis-versus-laboratory-15z7c6mufy.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses visual vs photometric readings for dipsticks but lacks a benchtop device description; no hardware design details; mentions photometric comparison without depth on reflectance methodology.","OBJECTIVE The primary objective of this study was to compare the results of nurse-performed urinalysis (NPU) interpreted visually in the emergency department (ED) with laboratory performed urinalysis (LPU) interpreted by reflectance photometry. METHODS This was a prospective observational study based on a convenience sample from my emergency practice. Emergency nurses, who were unaware of the study, performed usual dipstick analysis before sending the same urine sample to the laboratory for testing. RESULTS Of 140 urinalyses performed during the study period, 124 were suitable for analysis. When compared with the reference standard LPU, the NPU had an overall sensitivity of 100% (95% confidence interval [CI] 95%-100%) and a specificity of 49% (95% CI 33%-65%) for the presence of any 1 of blood, leukocyte esterase, nitrites, protein, glucose or ketones in the urine. Of 20 falsely positive NPUs, 18 were a result of the nurse recording 1 or more components as ""trace"" positive. CONCLUSION Although NPU does not yield identical results to LPU, a negative LPU is expected when the initial NPU in the ED is negative.","","",""
"[Research on Dry Chemical Detection TechnologyBased on Reflectance Photometry].","https://scispace.com/paper/research-on-dry-chemical-detection-technologybased-on-t99xiolwnb","2024","Journal Article","Chinese journal of medical instrumentation","Tanghong Lu
Juhua Huang
Chunjiang Huang
Shuaiding Feng
Lingfeng You","10.12455/j.issn.1671-7104.230331","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on dry chemical reflectance photometry with an integrating sphere, not on urine dipstick analyzers or related design/application.","In response to the issues of insufficient stability and accuracy in dry chemical detection using reflectance photometry, caused by the divergence and multiple internal reflections of the reflected light signal from the sample and the multilayer dry film test strip, a dry chemical reflectance photometry detection system based on an integrating sphere is designed. Firstly, an integrating sphere device is incorporated to reduce signal divergence and loss, ensuring even detection of the sample's reflected light signal and improving detection stability. Secondly, Light Tools optical simulation analysis is performed, and an integrating sphere detection model is established. Thirdly, the Williams-Clapper equation is employed to correct the error in reflectance density caused by multiple internal reflections, enhancing detection accuracy. Experimental validation demonstrates that the developed integrating sphere-based dry chemical reflectance photometry detection system improves the stability and accuracy of the detection system.","","",""
"Automated Urinal-Based Specific Gravity Measurement Device for Real-Time Hydration Monitoring in Male Athletes","https://scispace.com/paper/automated-urinal-based-specific-gravity-measurement-device-2rvnp9dq","2022","Journal Article","Frontiers in sports and active living","Brian F. Bender
Nick Johnson
Jasmine A. Berry
Kelvin Mitchell Frazier
Michael B Bender","10.3389/fspor.2022.921418","https://scispace.com/pdf/automated-urinal-based-specific-gravity-measurement-device-2rvnp9dq.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on USG measurement via optical refractometry, not dipstick reflectance; provides limited hardware description unrelated to dipstick analysis.","Acute and chronic hydration status is important for athlete safety and performance and is frequently measured by sports scientists and performance staff in team environments via urinalysis. However, the time required for urine collection, staff testing, and reporting often delays immediate reporting and personalized nutrition insight in situations of acute hydration management before training or competition. Furthermore, the burdensome urine collection and testing process often renders chronic hydration monitoring sporadic or non-existent in real-world settings. An automated urinalysis device (InFlow) was developed to measure specific gravity, an index of hydration status, in real-time during urination. The device was strongly correlated to optical refractometry with a mean absolute error of 0.0029 (±0.0021). Our results show this device provides a novel and useful approach for real-time hydration status via urinalysis for male athletes in team environments with high testing frequency demands.","","",""
"Quantifying Proteinuria in Hypertensive Disorders of Pregnancy","https://scispace.com/paper/quantifying-proteinuria-in-hypertensive-disorders-of-37a0zb7t5k","2014","Journal Article","International Journal of Hypertension","Sapna Vinit Amin
Sireesha Illipilla
Shripad Hebbar
Lavanya Rai
Pratap Kumar
Muralidhar V. Pai","10.1155/2014/941408","https://scispace.com/pdf/quantifying-proteinuria-in-hypertensive-disorders-of-37a0zb7t5k.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Mentions portable reflectance photometers for dipstick reading but lacks benchtop integration, detailed hardware design, or in‑depth optical methodology.","Background. Progressive proteinuria indicates worsening of the condition in hypertensive disorders of pregnancy and hence its quantification guides clinician in decision making and treatment planning. Objective. To evaluate the efficacy of spot dipstick analysis and urinary protein-creatinine ratio (UPCR) in hypertensive disease of pregnancy for predicting 24-hour proteinuria. Subjects and Methods. A total of 102 patients qualifying inclusion criteria were evaluated with preadmission urine dipstick test and UPCR performed on spot voided sample. After admission, the entire 24-hour urine sample was collected and analysed for daily protein excretion. Dipstick estimation and UPCR were compared to the 24-hour results. Results. Seventy-eight patients (76.5%) had significant proteinuria of more than 300 mg/24 h. Dipstick method showed 59% sensitivity and 67% specificity for prediction of significant proteinuria. Area under curve for UPCR was 0.89 (95% CI: 0.83 to 0.95, ) showing 82% sensitivity and 12.5% false positive rate for cutoff value of 0.45. Higher cutoff values (1.46 and 1.83) predicted heavy proteinuria (2 g and 3 g/24 h, resp.). Conclusion. This study suggests that random urinary protein : creatine ratio is a reliable investigation compared to dipstick method to assess proteinuria in hypertensive pregnant women. However, clinical laboratories should standardize the reference values for their setup.","","",""
"Portable Multifunctional Urine Analysis System for Early Diagnosis of Kidney Disease","https://scispace.com/paper/portable-multifunctional-urine-analysis-system-for-early-4x3jbn7ptub0","2024","Proceedings Article","","Myung-Joon Kwack
Dae-Sik Lee
Sun Hee Lee
Soon Mog So","10.1109/ictc62082.2024.10827073","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses fluorescence and colorimetric imaging, not reflectance photometry; portable format, limited hardware design detail; lacks reflectance‑based detection methodology.","This study presents a portable urine analysis system designed for the accurate measurement of the urine albumin-to-creatinine ratio, crucial for diagnosing kidney disease. The system employs both a europium(III)-based strip for microalbumin detection and a colorimetric strip for creatinine detection, addressing the distinct analytical needs of these biomarkers. Utilizing a CMOS-based sensor, the system captures high-resolution fluorescence and visible light images, with UV and white LEDs providing even illumination. This setup ensures reliable, rapid, and non-invasive testing, making it suitable for point-of-care applications in diverse clinical environments. Validation with buffer solutions demonstrated a strong correlation between the fluorescence intensity and microalbumin concentration (5–300 mg/L), as well as between the color intensity and creatinine concentration (1–300 mg/dL), both achieving an R2value of over 0.99. The portable urine analysis system thus offers a robust and cost-effective tool for early detection and monitoring of kidney disease, enhancing clinical outcomes through timely diagnosis and management.","","",""
"The LUMINA setup for a light-based urine monitoring and analysis","https://scispace.com/paper/the-lumina-setup-for-a-light-based-urine-monitoring-and-jp3gw16250","2024","Journal Article","","Alessandro Fantoni
Miguel Fernandes
Jorge Fidalgo
Miriam K. Soto
Sofia Pereira
Aitor Moreno
Catarina Domingos
Ana Júlia Silva Correia
Henrique Sousa
Caterina Serafinelli
M. Vieira","10.1117/12.3022182","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on portable optoelectronic urine analysis (color, fluorescence, Raman) without dipsticks or reflectance photometry; no benchtop integration or dipstick design discussed.","Optoelectronic and spectral analysis of urine can be performed on site by low-cost portable technology, interfaced to signal processing and machine learning algorithm. These algorithms, trained on a set of previously known diagnostic outputs, can correlate the urine optoelectronic measured parameters with the person's health status. The proposed solution is the development of an optoelectronic setup, suitable to be embedded in a portable configuration, capable of performing on site and in a short amount of time a urine screening based on a set of techniques of increasing three levels of complexity. The proposed parameters to be measured are dominant color and turbidity (1st level), UV induced fluorescence (2nd level), Raman Spectroscopy (3rd level). The system can be used to perform a set of measurements on a set of urine samples of already known health condition to carry out the training of a machine learning algorithm for assessing the risk of developing Acute Kidney Injury. All the technical information is public open access, available at https://github.com/ISELDEETC/PhotoAKI/tree/main/LUMINA. ","","",""
"Evaluation of the appropriate time period between sampling and analyzing for automated urinalysis","https://scispace.com/paper/evaluation-of-the-appropriate-time-period-between-sampling-3eatxoqtm8","2016","Journal Article","Biochemia Medica","Ramona C. Dolscheid-Pommerich
Ute Klarmann-Schulz
Rupert Conrad
Birgit Stoffel-Wagner
Berndt Zur","10.11613/BM.2016.008","https://scispace.com/pdf/evaluation-of-the-appropriate-time-period-between-sampling-3eatxoqtm8.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on timing for automated urinalysis and flow cytometry, without dipstick analyzers or reflectance photometry.","Introduction
Preanalytical specifications for urinalysis must be strictly adhered to avoid false interpretations. Aim of the present study is to examine whether the preanalytical factor ‘time point of analysis’ significantly influences stability of urine samples for urine particle and dipstick analysis.","","",""
"Paper-based assays for urine analysis.","https://scispace.com/paper/paper-based-assays-for-urine-analysis-3i6mgygk1a","2017","Journal Article","Biomicrofluidics","Eric Lepowsky
Fariba Ghaderinezhad
Stephanie Knowlton
Savas Tasoglu","10.1063/1.4996768","https://scispace.com/pdf/paper-based-assays-for-urine-analysis-3i6mgygk1a.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on paper‑based microfluidic and lateral flow assays, colorimetric detection, and smartphone imaging; no benchtop device, optical reflectance photometry, or hardware design discussed.","A transformation of the healthcare industry is necessary and imminent: hospital-centered, reactive care will soon give way to proactive, person-centered care which focuses on individuals' well-being. However, this transition will only be made possible through scientific innovation. Next-generation technologies will be the key to developing affordable and accessible care, while also lowering the costs of healthcare. A promising solution to this challenge is low-cost continuous health monitoring; this approach allows for effective screening, analysis, and diagnosis and facilitates proactive medical intervention. Urine has great promise for being a key resource for health monitoring; unlike blood, it can be collected effortlessly on a daily basis without pain or the need for special equipment. Unfortunately, the commercial rapid urine analysis tests that exist today can only go so far—this is where the promise of microfluidic devices lies. Microfluidic devices have a proven record of being effective analytical devices, capable of controlling the flow of fluid samples, containing reaction and detection zones, and displaying results, all within a compact footprint. Moving past traditional glass- and polymer-based microfluidics, paper-based microfluidic devices possess the same diagnostic ability, with the added benefits of facile manufacturing, low-cost implementation, and disposability. Hence, we review the recent progress in the application of paper-based microfluidics to urine analysis as a solution to providing continuous health monitoring for proactive care. First, we present important considerations for point-of-care diagnostic devices. We then discuss what urine is and how paper functions as the substrate for urine analysis. Next, we cover the current commercial rapid tests that exist and thereby demonstrate where paper-based microfluidic urine analysis devices may fit into the commercial market in the future. Afterward, we discuss various fabrication techniques that have been recently developed for paper-based microfluidic devices. Transitioning from fabrication to implementation, we present some of the clinically implemented urine assays and their importance in healthcare and clinical diagnosis, with a focus on paper-based microfluidic assays. We then conclude by providing an overview of select biomarker research tailored towards urine diagnostics. This review will demonstrate the applicability of paper-based assays for urine analysis and where they may fit into the commercial healthcare market.","","",""
"Non-invasive reflectance spectrophotometric apparatus","https://scispace.com/paper/non-invasive-reflectance-spectrophotometric-apparatus-5g45gmy6kf","1984","Patent","","Francois Bosch","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Describes a generic portable reflectance spectrophotometer; no mention of urine dipsticks, benchtop integration, or specific analyzer design.","Spectrophotometric apparatus is incorporated in a portable housing with a light source for emitting a wide band of radiation from which monochromatic light is produced and projected onto a specimen outside the housing. A hood is mounted to the housing and includes an aperture through which light is emitted from the light source and reflected from either a specimen or a calibrating material positioned in front of the aperture such that light is reflected from either the specimen or the calibrating material onto a photosensitive detector within the housing. The photosensitive detector is responsive to the monochromatic light reflected from the specimen or the calibrating material to provide output signals representative of the spectrophotometric characteristics thereof. The output of the photosensitive detector is connected to an indicating meter.","","",""
"Development of a Plural Colorimeter Module for Urinalysis Strip Readers","https://scispace.com/paper/development-of-a-plural-colorimeter-module-for-urinalysis-59sxat3q16","2007","Proceedings Article","International Conference on Convergence Information Technology","Jung Hoon Ro
Yong-uk Jeon
Ah-young Jeon
Jae-hee Jung
In Cheol Kim
Jae-Hyung Kim
Soo Young Ye
Gye Rok Jeon","10.1109/ICCIT.2007.179","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses multi‑LED/phototransistor array for reflectance reading of dipstick pads; provides detailed circuit and multiplexing design; describes detection principle but stops short of a complete benchtop system.","An optic module system is developed adopting multiple colorimetry units for the measurement of multi-pad urinalysis dipsticks. Multiple photometry system instead of moving mechanisms has the advantages of system reliability and simplicity as well as economic aspects due to the recent development of economic color light emitting diodes and stable photo sensors. An integration amplifier with programmable integration time, a current source circuit with selectable and stable current settings were connected through analog multiplexers to forty light emitting diodes for illumination and twelve photo transistors for reading each strip pad. All the circuits are controlled by a microprocessor through a simple set of serial communication commands. The detectability is eighteen times better than the minimum color difference of the test grading which is 0.013 in urobilinogen in the color space defined in this paper.","","",""
